Date,Excellent %,Good %,Only fair %,Poor %,No Opinion %
2024 Mar 1-20,4,26,30,39,1
2024 Feb 1-20,4,22,32,41,*
2024 Jan 2-22,5,22,29,45,*
2023 Dec 1-20,3,19,33,45,*
2023 Nov 1-21,2,17,31,50,--
2023 Oct 2-23,2,17,33,47,*
2023 Sep 1-23,3,17,32,48,--
2023 Aug 1-23,2,21,35,42,*
2023 Jul 3-27,2,20,35,42,*
2023 Jun 1-22,1,18,37,44,*
2023 May 1-24,1,16,36,47,*
2023 Apr 3-25,1,15,37,47,*
2023 Mar 1-23,1,15,40,43,*
2023 Feb 1-23,1,15,38,45,*
2023 Jan 2-22,2,15,38,45,*
2022 Nov 9-Dec 2,1,14,40,46,*
2022 Oct 3-20,2,12,37,49,*
2022 Sep 1-16,2,15,34,48,*
2022 Aug 1-23,1,15,36,47,1
2022 Jul 5-26,1,13,34,52,*
2022 Jun 1-20,*,11,34,54,*
2022 May 2-22,1,13,39,46,*
2022 Apr 1-19,2,18,38,42,--
2022 Mar 1-18,2,20,35,44,*
2022 Feb 1-17,3,18,37,42,*
2022 Jan 3-16,2,21,40,37,*
2021 Dec 1-16,1,17,40,42,1
2021 Nov 1-16,2,20,42,36,*
2021 Oct 1-19,2,23,42,33,*
2021 Sep 1-17,2,23,39,35,1
2021 Aug 2-17,2,26,42,29,*
2021 Jul 6-21,2,26,45,27,*
2021 Jun 1-18,3,27,43,26,1
2021 May 3-18,3,24,42,30,1
2021 Apr 1-21,2,26,46,26,*
2021 Mar 1-15,2,21,46,31,--
2021 Feb 3-18,2,18,49,31,*
2021 Jan 4-15,4,24,39,33,--
2020 Dec 1-17,7,26,38,29,*
2020 Nov 5-19,9,27,40,23,1
2020 Sep 30-Oct 15,7,26,37,29,*
2020 Aug 31-Sep 13,5,26,35,34,*
2020 Jul 30-Aug 12,4,24,41,30,1
2020 Jul 1-23,4,25,38,33,*
2020 May 28-Jun 4,4,19,41,36,1
2020 May 1-13,4,18,35,42,*
2020 Apr 14-28,4,19,33,43,1
2020 Apr 1-14,7,20,34,39,1
2020 Mar 2-13,15,39,35,11,*
2020 Feb 3-16,24,39,28,9,*
2020 Jan 2-15,22,40,30,8,*
2019 Dec 2-15,18,37,33,12,*
2019 Nov 1-14,16,39,35,9,*
2019 Oct 1-13,15,37,34,13,1
2019 Sep 3-15,15,35,36,14,*
2019 Aug 1-14,14,40,33,13,*
2019 Jul 1-12,16,37,34,12,1
2019 Jun 3-16,13,40,33,14,1
2019 May 1-12,11,40,37,12,*
2019 Apr 1-9,14,36,36,14,*
2019 Mar 1-10,13,40,35,12,*
2019 Feb 1-10,14,43,31,12,1
2019 Jan 2-10,12,37,36,14,1
2018 Dec 3-12,10,40,37,12,1
2018 Nov 1-11,17,38,31,14,*
2018 Oct 15-28,14,41,32,12,1
2018 Oct 1-10,14,40,33,12,*
2018 Sep 4-12,14,37,35,13,*
2018 Aug 1-12,12,42,33,13,1
2018 Jul 1-11,11,44,33,12,1
2018 Jun 1-13,10,41,36,13,*
2018 May 1-10,4,41,38,15,1
2018 Apr 2-11,7,36,43,13,1
2018 Mar 1-8,8,41,39,12,*
2018 Feb 1-10,9,41,36,14,*
2018 Jan 2-7,8,37,39,16,*
2017 Dec 4-11,7,36,38,18,1
2017 Apr 5-9,3,37,46,14,1
2016 Apr 6-10,2,23,46,28,*
2015 Apr 9-12,1,27,46,25,1
2014 Apr 6-9,1,18,49,32,*
2013 Apr 4-14,1,19,47,33,1
2012 Apr 9-12,1,11,47,40,*
2011 Apr 7-11,1,8,40,50,1
2010 May 24-25,1,9,40,50,*
2010 Apr 8-11,*,9,45,46,*
2009 Apr 6-9,1,4,34,61,*
2009 Feb 9-12 ^,1,6,23,69,*
2008 Dec 4-7,*,4,28,67,*
2008 Nov 13-16,*,6,29,65,*
2008 Oct 10-12,1,4,22,73,*
2008 Oct 3-5,2,7,29,62,1
2008 Sep 8-11,*,11,40,47,1
2008 Aug 21-23,2,14,35,49,*
2008 Aug 7-10,1,12,43,43,1
2008 Jul 10-13,1,9,42,47,1
2008 Jun 9-12,2,7,42,49,1
2008 May 8-11,1,9,41,49,*
2008 Apr 6-9,1,12,40,46,*
2008 Mar 6-9,2,15,44,39,*
2008 Feb 11-14,1,13,46,39,1
2008 Jan 30-Feb 2,2,17,39,42,1
2008 Jan 4-6,3,29,43,25,1
2007 Dec 6-9,3,25,45,27,1
2007 Nov 11-14,2,25,44,28,1
2007 Oct 4-7,5,28,44,23,*
2007 Sep 14-16,3,28,46,23,*
2007 Aug 13-16,4,29,46,20,1
2007 Jul 12-15,8,32,40,20,*
2007 Jul 6-8,8,28,42,21,*
2007 Jun 11-14,5,29,43,23,*
2007 May 10-13,4,28,45,23,*
2007 Apr 2-5,8,35,40,18,*
2007 Mar 11-14,6,32,47,15,*
2007 Feb 1-4,8,35,41,16,*
2007 Jan 15-18,11,41,33,15,*
2006 Dec 11-14,8,34,41,16,1
