Date,Satisfied %,Dissatisfied %,No opinion %
2024 Mar 1-20,23,75,2
2024 Feb 1-20,19,79,2
2024 Jan 2-22,20,78,2
2023 Dec 1-20,22,77,1
2023 Nov 1-21,19,80,1
2023 Oct 2-23,19,80,1
2023 Sep 1-23,20,80,1
2023 Aug 1-23,20,79,1
2023 Jul 3-27,19,80,1
2023 Jun 1-22,18,81,1
2023 May 1-24,18,81,1
2023 Apr 3-25,16,83,1
2023 Mar 1-23,19,80,1
2023 Feb 1-23,20,79,1
2023 Jan 2-22,23,76,1
2022 Nov 9-Dec 2,22,76,1
2022 Oct 3-20,17,81,2
2022 Sep 1-16,21,79,1
2022 Aug 1-23,17,82,1
2022 Jul 5-26,13,86,1
2022 Jun 1-20,13,87,*
2022 May 2-22,16,83,1
2022 Apr 1-19,22,77,1
2022 Mar 1-18,24,75,1
2022 Feb 1-17,21,78,1
2022 Jan 3-16,17,82,1
2021 Dec 1-16,21,79,1
2021 Nov 1-16,24,75,1
2021 Oct 1-19,23,75,1
2021 Sep 1-17,24,75,1
2021 Aug 2-17,23,77,1
2021 Jul 6-21,30,69,1
2021 Jun 1-18,35,63,1
2021 May 3-18,36,62,2
2021 Apr 1-21,34,65,1
2021 Mar 1-15,32,67,1
2021 Feb 3-18,27,71,1
2021 Jan 4-15,11,88,1
2020 Dec 1-17,16,83,1
2020 Nov 5-19,21,76,2
2020 Oct 16-27,28,71,2
2020 Sep 30-Oct 15,19,80,2
2020 Aug 31-Sep 13,14,85,2
2020 Jul 30-Aug 12,13,84,3
2020 Jul 1-23,13,86,1
2020 May 28-Jun 4,20,78,2
2020 May 1-13,32,66,2
2020 Apr 1-14,30,68,2
2020 Mar 2-13,42,57,1
2020 Feb 3-16,45,55,*
2020 Jan 2-15,41,58,1
2019 Dec 2-15,36,62,1
2019 Nov 1-14,35,64,1
2019 Oct 1-13,28,70,2
2019 Sep 3-15,33,66,1
2019 Aug 1-14,32,67,1
2019 Jul 1-12,36,62,2
2019 Jun 3-16,32,66,1
2019 May 1-12,36,63,1
2019 Apr 1-9,31,67,2
2019 Mar 1-10,33,65,2
2019 Feb 1-10,29,69,2
2019 Jan 2-10,26,72,2
2018 Dec 3-12,31,66,3
2018 Nov 1-11,35,62,3
2018 Oct 15-28,33,65,2
2018 Oct 1-10,38,59,3
2018 Sep 4-12,37,61,2
2018 Aug 1-12,36,63,1
2018 Jul 1-11,35,62,2
2018 Jun 1-13,38,60,2
2018 May 1-10,37,62,2
2018 Apr 2-11,29,69,2
2018 Mar 1-8,28,68,4
2018 Feb 1-10,36,63,2
2018 Jan 2-7,29,69,2
2017 Dec 4-11,29,67,4
2017 Nov 2-8,25,72,3
2017 Oct 5-11,21,75,3
2017 Sep 6-10,25,73,2
2017 Aug 2-6,28,70,2
2017 Jul 5-9,27,71,3
2017 Jun 7-11,24,73,3
2017 May 3-7,31,66,3
2017 Apr 5-9,32,66,2
2017 Mar 1-5,29,69,3
2017 Feb 1-5,30,68,2
2017 Jan 4-8,26,72,2
2016 Dec 7-11,27,71,2
2016 Nov 9-13,27,70,3
2016 Nov 1-6,37,62,1
2016 Oct 5-9,28,70,2
2016 Sep 7-11,29,70,1
2016 Aug 3-7,27,72,1
2016 Jul 13-17,17,82,2
2016 Jun 1-5,29,69,2
2016 May 4-8,28,69,3
2016 Apr 6-10,26,71,3
2016 Mar 2-6,27,71,2
2016 Feb 3-7,27,71,1
2016 Jan 6-10,23,76,1
2015 Dec 2-6,20,79,1
2015 Nov 4-8,27,71,2
2015 Oct 7-11,25,72,3
2015 Sep 9-13,29,70,1
2015 Aug 5-9,26,72,1
2015 Jul 8-12,30,68,2
